customer_id,age,gender,location,purchase_history,browsing_history,preferences,buyer_np_id
ae41df7579ec9ce4733b47727b2b62121e17810ccbf45685c1b65fbddd617212,42,Male,+N7J3tnJ,['Lenovo ThinkPad'],['Samsung Galaxy S21'],['To Kill a Mockingbird'],1
9da6aae167b6d83fce577cd60d32fa607206c327c7236c1850accc5c708d5eb2,36,Female,+N7J3tnJ,['Nike Air Max'],['MacBook Pro'],['Samsung Galaxy S21'],1
becc3714c0f577a5c873dc028ccf5b05b6631ab807d7999d3e1185a4459f59e7,56,Female,+N7J3tnJ,"['iPhone 13', 'Google Nest Mini', 'MacBook Pro']",['Adidas Ultraboost'],['Samsung Galaxy S21'],1
4dba1ee7854208a36d42fe3d50bf7f16e6ba6c8d82b1e8cd29d3e9ebdedd4df1,31,Female,6MLf0g==,"[""Harry Potter and the Sorcerer's Stone""]",['Amazon Echo Dot'],"[""Harry Potter and the Sorcerer's Stone""]",1
4c8816bbbd574cb48335732c615a917354eb3be29bd0c90340878e161e4b4438,48,Female,+N7J3tnJ,"[""Harry Potter and the Sorcerer's Stone"", 'MacBook Pro']","['Google Nest Mini', 'Nike Air Max']","['Nike Air Max', 'Amazon Echo Dot']",1
eda158ea8103744f61762cc3ed1d3b1dc6804b946f225b4d9cca61d7045b02e9,41,Female,6MLf0g==,"['iPhone 13', 'To Kill a Mockingbird', 'MacBook Pro']","['Adidas Ultraboost', ""Harry Potter and the Sorcerer's Stone""]","['To Kill a Mockingbird', 'Amazon Echo Dot']",1
732f425e3816127aa5ffb32322e9117a864dd3c2deb576247cbb97712aa33c53,31,Female,+N7J3tnJ,"['iPhone 13', 'iPhone 13', 'Amazon Echo Dot']",['iPhone 13'],"['Nike Air Max', 'Amazon Echo Dot']",1
e864e8b0ca4947098cbd7457c9c3aea8c941bbccdfff8b555ff1e6117ff2fdce,59,Male,+d7Zysc=,['iPhone 13'],"['Adidas Ultraboost', 'Adidas Ultraboost', 'MacBook Pro']","['Nike Air Max', 'Samsung Galaxy S21', 'Amazon Echo Dot']",1
9a19bc969090a1b478b7db06c5967162b9a801ac75710d5208bea08e1c0c472c,20,Male,+d7Zysc=,"['To Kill a Mockingbird', 'Nike Air Max', 'Nike Air Max']",['Adidas Ultraboost'],"['Amazon Echo Dot', 'Amazon Echo Dot']",1
23cbe2ec231c88f82471506ca18e8a8da94b0a101c5e4584b3a3703be92ccaeb,48,Male,+N7J3tnJ,"['Google Nest Mini', 'Amazon Echo Dot']",['Amazon Echo Dot'],"[""Harry Potter and the Sorcerer's Stone"", 'Adidas Ultraboost']",1
ae41df7579ec9ce4733b47727b2b62121e17810ccbf45685c1b65fbddd617212,33,Female,+d7Zysc=,"['Samsung Galaxy S21', 'Amazon Echo Dot']","['Amazon Echo Dot', ""Harry Potter and the Sorcerer's Stone""]",['Amazon Echo Dot'],2
9da6aae167b6d83fce577cd60d32fa607206c327c7236c1850accc5c708d5eb2,18,Female,+N7J3tnJ,"['Nike Air Max', 'Lenovo ThinkPad']",['Google Nest Mini'],"['To Kill a Mockingbird', 'Amazon Echo Dot']",2
becc3714c0f577a5c873dc028ccf5b05b6631ab807d7999d3e1185a4459f59e7,49,Female,+d7Zysc=,"['Lenovo ThinkPad', 'Amazon Echo Dot']","['Amazon Echo Dot', 'Lenovo ThinkPad', 'Adidas Ultraboost']","['Google Nest Mini', 'Amazon Echo Dot', 'Amazon Echo Dot']",2
4dba1ee7854208a36d42fe3d50bf7f16e6ba6c8d82b1e8cd29d3e9ebdedd4df1,41,Male,+d7Zysc=,"['iPhone 13', 'Google Nest Mini', 'Adidas Ultraboost']","['To Kill a Mockingbird', 'MacBook Pro']","[""Harry Potter and the Sorcerer's Stone""]",2
4c8816bbbd574cb48335732c615a917354eb3be29bd0c90340878e161e4b4438,53,Female,+d7Zysc=,"['Samsung Galaxy S21', 'MacBook Pro']","['Adidas Ultraboost', 'MacBook Pro', 'Google Nest Mini']","['Samsung Galaxy S21', ""Harry Potter and the Sorcerer's Stone""]",2
eda158ea8103744f61762cc3ed1d3b1dc6804b946f225b4d9cca61d7045b02e9,39,Male,+d7Zysc=,"['iPhone 13', 'To Kill a Mockingbird']",['MacBook Pro'],"['Samsung Galaxy S21', 'MacBook Pro', 'To Kill a Mockingbird']",2
732f425e3816127aa5ffb32322e9117a864dd3c2deb576247cbb97712aa33c53,47,Male,6MLf0g==,['Adidas Ultraboost'],['Adidas Ultraboost'],"['Samsung Galaxy S21', 'Samsung Galaxy S21', 'Nike Air Max']",2
e864e8b0ca4947098cbd7457c9c3aea8c941bbccdfff8b555ff1e6117ff2fdce,42,Female,+N7J3tnJ,"['To Kill a Mockingbird', 'MacBook Pro', 'To Kill a Mockingbird']","['iPhone 13', 'Adidas Ultraboost']","['To Kill a Mockingbird', 'Lenovo ThinkPad']",2
