Product Name,Description,Price,Seller Name
Gala Apples,"Crisp Gala apples, perfect for snacking",$1.99,FreshMart
Multigrain Bread,"Healthy multigrain bread, assorted grains",$3.29,FreshMart
Organic Free-Range Eggs,"Organic free-range brown eggs, pack of 12",$6.49,FreshMart
Coconut Water,"Refreshing coconut water, natural electrolytes",$2.99,FreshMart
Baby Kale,"Tender baby kale leaves, great for salads",$2.49,FreshMart
Ground Chicken,"Fresh ground chicken, 93% lean",$4.79,FreshMart
Whole Wheat Penne,"Whole wheat penne pasta, high in fiber",$1.99,FreshMart
Blueberries,"Plump and sweet blueberries, pint",$3.99,FreshMart
Almond Butter,"Creamy almond butter, unsweetened",$5.99,FreshMart
Organic Zucchini,"Fresh organic zucchini, medium-sized",$1.79,FreshMart
Brown Basmati Rice,"Brown basmati rice, fragrant and nutty",$4.49,FreshMart
Asparagus Spears,"Fresh asparagus spears, tender and flavorful",$3.49,FreshMart
Wild-Caught Cod Fillets,"Wild-caught cod fillets, skinless and boneless",$10.99,FreshMart
Organic Red Potatoes,"Organic red potatoes, 3 lb bag",$2.99,FreshMart
Green Smoothie Mix,"Organic green smoothie mix, packed with nutrients",$6.99,FreshMart
