Customer ID,Cart Items,Purchase History,Search History,Location,Seller Name
1,"Multigrain Bread, Blueberries, Almond Butter","Multigrain Bread, Blueberries, Almond Butter","Whole Grain Bread, Blueberries, Almond Butter","New York, NY","FreshFoods"
2,"Multigrain Bread, Blueberries, Almond Butter","Multigrain Bread, Blueberries, Almond Butter","Whole Grain Bread, Blueberries, Almond Butter","Los Angeles, CA","FreshMart"
3,"Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Chicago, IL","FreshMart"
4,"Organic Apples, Greek Yogurt, Wild Salmon Fillet","Organic Apples, Greek Yogurt, Wild Salmon Fillet","Organic Apples, Greek Yogurt, Wild Salmon Fillet","Houston, TX","NatureFresh"
5,"Multigrain Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","Multigrain Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","White Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","Philadelphia, PA","FreshFoods"
6,"Gala Apples, Organic Free-Range Eggs, Brown Basmati Rice, Wild-Caught Cod Fillets","Gala Apples, Organic Free-Range Eggs, Brown Basmati Rice, Wild-Caught Cod Fillets","Gala Apples, Organic Free-Range Eggs, Brown Basmati Rice, Wild-Caught Cod Fillets","Phoenix, AZ","FreshMart"
7,"Whole Grain Sourdough Bread, Baby Spring Mix, Quinoa Flour, Sweet Corn","Whole Grain Sourdough Bread, Baby Spring Mix, Quinoa Flour, Sweet Corn","Whole Grain Sourdough Bread, Baby Spring Mix, Quinoa Flour, Sweet Corn","Dallas, TX","GreenMart"
8,"White Bread, Large Eggs, Baby Carrots, Ground Turkey","White Bread, Large Eggs, Baby Carrots, Ground Turkey","Whole Wheat Bread, Large Eggs, Baby Carrots, Ground Turkey","Miami, FL","FreshMart"
9,"Bananas, Vanilla Yogurt, Soy Milk, Brown Rice","Bananas, Vanilla Yogurt, Soy Milk, Brown Rice","Bananas, Vanilla Yogurt, Soy Milk, Brown Rice","Seattle, WA","NatureFresh"
10,"Organic Spinach, Avocado, Almond Milk, Organic Tomatoes","Organic Spinach, Avocado, Almond Milk, Organic Tomatoes","Organic Spinach, Avocado, Almond Milk, Organic Tomatoes","Boston, MA","FreshFoods"
11,"Organic Bananas, Grass-Fed Bison, Brown Rice Pasta, Wild-Caught Shrimp","Organic Bananas, Grass-Fed Bison, Brown Rice Pasta, Wild-Caught Shrimp","Organic Kale, Coconut Yogurt, Baby Spinach, Quinoa Salad, Broccoli Florets","San Francisco, CA","NatureFresh"
12,"Multigrain Bread, Blueberries, Almond Butter","Multigrain Bread, Blueberries, Almond Butter","Whole Grain Bread, Blueberries, Almond Butter","Seattle, WA","FreshMart"
13,"Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Fuji Apples, Pasture-Raised Eggs, Grass-Fed Lamb, Cashew Butter","Portland, OR","GreenMart"
14,"Organic Apples, Greek Yogurt, Wild Salmon Fillet","Organic Apples, Greek Yogurt, Wild Salmon Fillet","Organic Apples, Greek Yogurt, Wild Salmon Fillet","Austin, TX","FreshFoods"
15,"Multigrain Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","Multigrain Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","White Bread, Coconut Water, Ground Chicken, Whole Wheat Penne","Denver, CO","NatureFresh"
